Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
58	1	96	93	96	95	94	96	96	95	96	96	96	96	94
58	10	94	91	96	93	94	93	93	94	91	95	91	90	89
58	100	76	69	82	83	82	82	80	80	82	90	62	57	44
58	1000	11	11	44	46	48	16	18	31	33	43	2	2	0
58	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
59	1	97	96	96	95	96	96	96	96	96	95	95	96	96
59	10	94	90	95	94	95	94	93	93	94	92	87	90	92
59	100	78	66	86	82	85	84	86	81	81	82	61	52	48
59	1000	12	6	53	27	35	18	31	20	29	33	2	2	0
59	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
60	1	96	95	96	97	96	96	94	94	96	96	96	96	95
60	10	95	89	95	95	95	94	92	91	94	93	91	92	89
60	100	81	73	89	81	82	81	78	81	86	82	58	58	36
60	1000	8	4	31	27	32	16	22	44	31	55	0	0	0
60	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
61	1	95	97	96	95	96	96	96	96	95	95	96	93	94
61	10	93	89	95	95	94	94	92	94	92	94	91	90	89
61	100	75	68	88	85	83	81	79	83	84	83	62	52	39
61	1000	14	7	33	35	33	12	33	26	38	49	2	0	0
61	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
62	1	95	95	95	94	96	96	96	96	96	96	96	94	96
62	10	93	90	93	93	94	94	93	94	93	95	92	89	89
62	100	77	65	85	87	86	76	80	79	79	85	60	59	45
62	1000	13	7	53	51	41	21	26	24	23	34	4	0	0
62	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
63	1	96	95	97	95	96	96	95	95	96	96	95	96	96
63	10	95	90	96	94	94	94	91	93	93	94	92	91	89
63	100	79	64	84	83	82	81	80	81	81	87	67	55	42
63	1000	12	4	42	31	35	15	12	28	35	37	0	3	2
63	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
64	1	96	95	96	96	96	96	94	95	95	96	95	96	96
64	10	93	90	95	95	93	92	92	92	94	95	91	86	88
